,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,Mood
1024,1024,098WwIoAtjDQwcpuEHAlrr,Criolo,Sobre Viver,Pretos Ganhando Dinheiro Incomoda Demais,48,198920,False,0.637,0.715,0,-7.032,0,0.074,0.0518,4.65e-05,0.122,0.347,109.859,4,afrobeat,Energetic
1025,1025,3AJ0MFDt4OSknQ5D9Jlo4l,Criolo,Nó na Orelha,Samba Sambei,37,222560,False,0.87,0.737,11,-8.372,1,0.126,0.268,0.00369,0.0504,0.952,136.07,4,afrobeat,Happy
1026,1026,02HQGyk9aGfleS1epTFtnJ,Juanafé,La Makinita,La Makinita,42,226648,False,0.633,0.805,2,-5.523,0,0.0329,0.0529,0.0,0.146,0.925,143.028,4,afrobeat,Happy
1027,1027,39tI78Hw9SxwaHh32EZW5o,Criolo;Milton Nascimento,Sobre Viver,Me Corte na Boca do Céu a Morte Não Pede Perdão,44,257146,False,0.428,0.3,11,-10.214,0,0.157,0.638,5.18e-05,0.0987,0.278,81.403,4,afrobeat,Sad
1028,1028,633yLLOTvQTEdvDD4XVnsw,Criolo,Espiral de Ilusão,Menino Mimado,44,227640,False,0.83,0.604,0,-5.25,0,0.0355,0.563,0.00108,0.221,0.82,144.008,4,afrobeat,Happy
1029,1029,31RfYWiC3WcExsZtqDMvdS,Criolo,Sobre Viver,Aprendendo a Sobreviver,41,212826,False,0.817,0.619,5,-6.922,0,0.0542,0.263,0.00317,0.0889,0.614,103.041,4,afrobeat,Happy
1030,1030,3EYGVS7euI1GTiYkKBOSfk,Juanafé,La Makinita,Tengo Luquita,45,223600,False,0.526,0.711,6,-4.373,0,0.0465,0.585,0.0,0.0728,0.651,176.27,4,afrobeat,Sad
1031,1031,5Xv3XHAt8gkT6hVDXZGcuG,Criolo,Viva Tim Maia,Primavera (Vai Chuva),41,244533,False,0.573,0.859,9,-4.346,1,0.0473,0.108,3.04e-05,0.0779,0.521,147.906,4,afrobeat,Energetic
1032,1032,2e1FJPgVRQZFT53QKUR7BD,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),A Cada Vento - Live,41,243373,False,0.651,0.861,11,-6.625,0,0.109,0.43,0.0,0.981,0.8,98.474,4,afrobeat,Happy
1033,1033,2anpZSamsEnNY7v1ScOkhJ,Samuca e a Selva,Madurar,Detergente,36,327836,False,0.721,0.741,0,-6.597,1,0.0354,0.441,0.00849,0.0775,0.977,131.001,4,afrobeat,Happy
1034,1034,0gKBYJ8xmhWjpBzlPPKUoj,Criolo,Espiral de Ilusão,Nas Águas,41,235560,False,0.753,0.653,5,-5.511,1,0.0508,0.76,8.56e-06,0.0756,0.706,115.802,4,afrobeat,Sad
1035,1035,3A4Y4uYIIt7VoSugv1OELL,Criolo,Convoque Seu Buda,Plano de Voo,41,218880,False,0.571,0.69,8,-8.18,0,0.542,0.299,0.0,0.103,0.228,155.991,4,afrobeat,Energetic
1036,1036,6gUUERbRME9MKaAMIAa1I3,Juanafé,La Makinita,Chiquitita,46,284875,False,0.715,0.556,9,-6.102,1,0.0453,0.667,0.0,0.132,0.902,87.973,4,afrobeat,Sad
1037,1037,5XJMVJoq9otQBf2lMbxagJ,Criolo,Nó na Orelha,Freguês da Meia Noite,39,249600,False,0.634,0.393,7,-9.583,1,0.0283,0.35,0.000987,0.151,0.54,87.996,4,afrobeat,Sad
1038,1038,1NF3eG2IpxKzR3jqMdR60O,Criolo,Espiral de Ilusão,Hora da Decisão,37,248520,False,0.731,0.575,9,-6.252,0,0.041,0.703,0.0,0.121,0.704,143.986,4,afrobeat,Sad
1039,1039,2zQt5C0AIv27RhfJCRZdZ4,BaianaSystem,Duas Cidades,"Jah Jah Revolta, Pt. 2",39,309493,False,0.776,0.8,8,-4.704,0,0.0438,0.00631,0.0731,0.35,0.583,143.989,4,afrobeat,Happy
1040,1040,4kSYNMfWnruGsc9knR15xV,BaianaSystem,Duas Cidades,Dia da Caça,38,269986,False,0.486,0.867,1,-5.237,1,0.0892,0.129,0.00176,0.0731,0.358,109.003,4,afrobeat,Energetic
1041,1041,0d23nai9JamDpc48xhyeRt,Criolo,Convoque Seu Buda,Fio de Pumo (Padê Onã),42,249960,False,0.77,0.819,7,-6.487,1,0.0703,0.0191,0.0133,0.377,0.732,92.996,4,afrobeat,Happy
1042,1042,6nFxTIa7abSSk8GzZFO1zB,Criolo,Convoque Seu Buda,Pegue Pra Ela,37,265200,False,0.611,0.738,4,-7.341,0,0.0443,0.142,0.00837,0.0575,0.725,119.791,4,afrobeat,Happy
1043,1043,2CTzBqhD3xitdqHzEaGoiz,Criolo,Espiral de Ilusão,Filha do Maneco,37,105360,False,0.674,0.518,0,-6.658,1,0.0806,0.733,3.81e-06,0.085,0.554,133.935,5,afrobeat,Sad
1044,1044,7oSCgig81QrE0hr6weiwgc,Criolo,Espiral de Ilusão,Cria de Favela,36,171480,False,0.692,0.749,7,-4.948,1,0.0427,0.442,7.13e-05,0.132,0.7,111.986,4,afrobeat,Happy
1045,1045,0Hr2RaY7XnE0Qj7ljHGfMw,Criolo,Espiral de Ilusão,Boca Fofa,36,140280,False,0.717,0.784,6,-5.138,0,0.0353,0.73,0.0126,0.0851,0.978,168.146,4,afrobeat,Happy
1046,1046,4BKI37hGrod94ofXtVycYL,Criolo,Espiral de Ilusão,Calçada,37,206760,False,0.817,0.771,5,-5.132,1,0.087,0.704,0.0,0.0885,0.76,111.099,4,afrobeat,Happy
1047,1047,6F4zAdEznwkmn8MHJtcjtT,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),Zica Vai Lá - Live,35,238346,False,0.374,0.934,10,-5.322,1,0.322,0.058,0.0,0.804,0.389,167.661,4,afrobeat,Energetic
1048,1048,7bLMLwx6gJrCXoppD2YqOu,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),Subirusdoistiozin - Live,37,211280,False,0.569,0.907,4,-5.619,0,0.31,0.602,4.35e-05,0.862,0.562,94.346,4,afrobeat,Energetic
1049,1049,5uCb2bQ9HcCY3c7kLq4Iur,Jackie Mittoo,The Keyboard King at Studio One,Darker Shade of Black,40,194293,False,0.689,0.564,6,-7.276,1,0.126,0.149,0.941,0.0909,0.758,87.474,4,afrobeat,Happy
2000,2000,5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy Issues,87,260173,False,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4,alt-rock,Sad
2001,2001,2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,83,299960,False,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4,alt-rock,Happy
2002,2002,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,86,206280,False,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,alt-rock,Happy
2003,2003,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,93,240400,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alt-rock,Energetic
2004,2004,7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,83,153000,False,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4,alt-rock,Energetic
2005,2005,7vguMCv8uVuZLiQJ156u3Z,Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money),Play with Fire (feat. Yacht Money),76,180690,False,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,4,alt-rock,Happy
2006,2006,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,76,232146,False,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,alt-rock,Sad
2007,2007,0y1QJc3SJVPKJ1OvFmFqe6,KALEO,A/B,Way down We Go,78,213706,False,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4,alt-rock,Sad
2008,2008,6rrKbzJGGDlSZgLphopS49,The Score,ATLAS,Unstoppable,73,192106,False,0.485,0.843,1,-3.993,0,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,4,alt-rock,Happy
2009,2009,4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,83,301920,False,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4,alt-rock,Happy
2010,2010,0AUyNF6iFxMNQsNx2nhtrw,grandson,Blood // Water,Blood // Water,75,216720,False,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,4,alt-rock,Energetic
2011,2011,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,83,199080,False,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4,alt-rock,Energetic
